#================================================================#
# SMARTS2 -- Algorithms and performance assessment               #
#================================================================#
#
# APPENDIX: Extraterrestrial spectrum and absorption coefficients
#           at their reference temperature
#
# λ      E0nλ       Awλ        Aoλ      Anλ  
280    0.0906   0.00E+00   1.05E+02    1.46
281    0.1585   0.00E+00   9.44E+01    1.52
282    0.2692   0.00E+00   8.47E+01    1.55
283    0.3222   0.00E+00   7.92E+01    1.68
284    0.3025   0.00E+00   7.12E+01    1.78
285    0.1865   0.00E+00   6.35E+01    1.91
286    0.2546   0.00E+00   5.77E+01    1.94
287    0.3578   0.00E+00   5.21E+01    1.99
288    0.3225   0.00E+00   4.52E+01    2.08
289    0.4028   0.00E+00   4.05E+01    2.21
290    0.5596   0.00E+00   3.61E+01    2.33
291    0.6110   0.00E+00   3.23E+01    2.52
292    0.5675   0.00E+00   2.78E+01    2.58
293    0.5500   0.00E+00   2.50E+01    2.60
294    0.5428   0.00E+00   2.16E+01    2.71
295    0.5453   0.00E+00   1.92E+01    2.83
296    0.5731   0.00E+00   1.64E+01    3.05
297    0.5064   0.00E+00   1.46E+01    3.30
298    0.5286   0.00E+00   1.25E+01    3.31
299    0.5024   0.00E+00   1.11E+01    3.38
300    0.4700   0.00E+00   9.52E+00    3.42
301    0.4693   0.00E+00   8.29E+00    3.62
302    0.4466   0.00E+00   7.29E+00    3.90
303    0.6041   0.00E+00   6.22E+00    4.08
304    0.6278   0.00E+00   5.58E+00    4.16
305    0.6373   0.00E+00   4.69E+00    4.24
306    0.6000   0.00E+00   4.20E+00    4.38
307    0.6143   0.00E+00   3.59E+00    4.51
308    0.6660   0.00E+00   3.12E+00    4.70
309    0.6097   0.00E+00   2.82E+00    4.96
310    0.5055   0.00E+00   2.31E+00    5.09
311    0.7623   0.00E+00   2.11E+00    5.30
312    0.7005   0.00E+00   1.78E+00    5.47
313    0.6974   0.00E+00   1.53E+00    5.49
314    0.7428   0.00E+00   1.39E+00    5.71
315    0.6868   0.00E+00   1.12E+00    5.88
316    0.5852   0.00E+00   1.05E+00    6.06
317    0.7612   0.00E+00   8.52E-01    6.40
